FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,referencia,direccion,lat,lon
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e42,11839,POINT (379367.96742000344 4064867.3912579995),MLG0338,Algarrobo,,,,,-1,0,-1,,,MLG0338,Algarrobo,36.721850,-4.350840
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e41,11840,POINT (378489.9618713608 4066379.989217445),MLG0339,San Antón vs C/Los Magonolios,,,,,-1,0,-1,,,MLG0339,San Antón vs C/Los Magonolios,36.735370,-4.360910
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e40,11841,POINT (378669.2602355446 4066553.869144227),MLG0340,San Anton vs C/ Boungavilleas,,,,,-1,0,-1,,,MLG0340,San Anton vs C/ Boungavilleas,36.736960,-4.358930
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3f,11842,POINT (378831.8540890951 4066746.8524194327),MLG0341,Las Palmerass vs C/ Axarquia,,,,,-1,0,-1,,,MLG0341,Las Palmerass vs C/ Axarquia,36.738720,-4.357140
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3e,11843,POINT (379214.15478186135 4065867.084015917),MLG0342,Juan Larrea vs C/ Matilde Pedrazo,,,,,-1,0,-1,,,MLG0342,Juan Larrea vs C/ Matilde Pedrazo,36.730840,-4.352720
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3d,11844,POINT (379037.2149368857 4065089.541155332),MLG0343,Montseny,,,,,-1,0,-1,,,MLG0343,Montseny,36.723810,-4.354578
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3c,11845,POINT (378491.1203026298 4065267.0480896784),MLG0344,Don  Diego Miranda Vs c/ Luis ,,,,,-1,0,-1,,,MLG0344,Don  Diego Miranda Vs c/ Luis,36.725340,-4.360720
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3b,11846,POINT (378892.90611207916 4065502.132196758),MLG0345,Reina Fabiola,,,,,-1,0,-1,,,MLG0345,Reina Fabiola,36.727510,-4.356259
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e3a,11847,POINT (378623.84827211197 4065141.0002525416),MLG0346,Villafuerte,,,,,-1,0,-1,,,MLG0346,Villafuerte,36.724221,-4.359214
da_amb_contenedoresvidrio.fid-2958923c_16b642ccbef_-3e39,11848,POINT (377463.9847167865 4066268.134725925),MLG0347,Escritor Manuel Solano,,,,,-1,0,-1,,,MLG0347,Escritor Manuel Solano,36.734230,-4.372380
