FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74b9,2085,Contenedor pilas Av Rosaleda,,"AVENIDA DE LA ROSALEDA, 19 ",POINT (-4.42539616934598 36.724699103412455),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.42539616934598,36.724699103412455
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ba,2106,Contenedor pilas Cl Ibrahin ,,"CALLE IBRAHÍN, 31 ",POINT (-4.441766905395997 36.72999571487236),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.441766905395997,36.72999571487236
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74bb,2076,Contenedor pilas Av Sor Teresa Prat 17,,"AVENIDA DE SOR TERESA PRAT, 17 ",POINT (-4.440466993139408 36.69856815356271),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.440466993139408,36.69856815356271
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74bc,2113,Contenedor pilas Cl Doctor Galvez Moll,,"CALLE DOCTOR GÁLVEZ MOLL, 11 ",POINT (-4.428022653117513 36.7393168252445),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.428022653117513,36.7393168252445
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74bd,2169,Contenedor pilas Pso Cervantes,,"AVENIDA DE CERVANTES, 2 ",POINT (-4.416010686603216 36.71982662858064),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.416010686603216,36.71982662858064
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74be,2164,Contenedor pilas Bv Louis Pasteur 28,,"BULEVAR LOUIS PASTEUR, 28 ",POINT (-4.471297202044971 36.71737484321416),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.471297202044971,36.71737484321416
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74bf,2178,Contenedor pilas Bv Louis Pasteur 35,,"BULEVAR LOUIS PASTEUR, 35 ",POINT (-4.476016386356587 36.715823849346215),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.476016386356587,36.715823849346215
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c0,2114,Contenedor pilas Cl Godino ,,"CALLE GODINO, 4 ",POINT (-4.429274318888475 36.7309724646758),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.429274318888475,36.7309724646758
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c1,2123,Contenedor pilas Cl Martínez Maldonado 51,,"CALLE MARTÍNEZ MALDONADO, 51 ",POINT (-4.435582711030467 36.72136261510811),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.435582711030467,36.72136261510811
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c2,2156,Contenedor pilas Cmno Santa Inés,,"CAMINO SANTA INÉS, 27 ",POINT (-4.533946736076159 36.720998722162314),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.533946736076159,36.720998722162314
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c3,2150,Contenedor pilas Cl Monsalvez ,,"CALLE MONSÁLVEZ, 2 ",POINT (-4.500912402299615 36.667648150477056),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.500912402299615,36.667648150477056
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c4,2152,Contenedor pilas Cl Conde Lucanor ,,"CALLE CONDE LUCANOR, 2 ",POINT (-4.460839747838842 36.66918496499839),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.460839747838842,36.66918496499839
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c5,2139,Contenedor pilas Av Sor Teresa Prat 58,,"AVENIDA DE SOR TERESA PRAT, 58 ",POINT (-4.442547722195313 36.696245326096715),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.442547722195313,36.696245326096715
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c6,2134,Contenedor pilas Av de la Luz,,"AVENIDA DE LA LUZ, 16 ",POINT (-4.452777449483086 36.69700277265635),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.452777449483086,36.69700277265635
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c7,2133,Contenedor pilas Cmno San Rafael,,"CAMINO DE SAN RAFAEL, 99 ",POINT (-4.454422398648651 36.70417562153583),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""Si"" } ] ",-4.454422398648651,36.70417562153583
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c8,2071,Contenedor pilas Av de la Aurora  48,,"AVENIDA DE LA AURORA, 48 ",POINT (-4.440359201573404 36.715163129117535),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.440359201573404,36.715163129117535
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74c9,2118,Contenedor pilas Av de la Aurora  49,,"AVENIDA DE LA AURORA, 49 ",POINT (-4.436067248528956 36.715865660935286),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.436067248528956,36.715865660935286
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ca,2078,Contenedor pilas Cl Van Gogh ,,"CALLE VAN GOGH, 4 ",POINT (-4.5380910259960165 36.72285139299863),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.5380910259960165,36.72285139299863
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74cb,2073,Contenedor pilas Av Gregorio Diego ,,"AVENIDA DE GREGORIO DIEGO, 46 ",POINT (-4.449011198985772 36.68827314293027),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.449011198985772,36.68827314293027
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74cc,2055,Contenedor pilas Almd Capuchinos,,"ALAMEDA DE CAPUCHINOS, 4 ",POINT (-4.420702210230619 36.729360931467745),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.420702210230619,36.729360931467745
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74cd,2151,Contenedor pilas Cl Torremolinos ,,"CALLE TORREMOLINOS, 78 ",POINT (-4.505021344055046 36.66385333596277),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.505021344055046,36.66385333596277
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74ce,2135,Contenedor pilas Pl Mozart ,,"PLAZA DE MOZART, 4 ",POINT (-4.450446676386034 36.69394329669444),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.450446676386034,36.69394329669444
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74cf,2162,Contenedor pilas Pl Pintor Sandro Botticelli ,,"PLAZA DEL PINTOR SANDRO BOTTICELLI, 1 ",POINT (-4.4604210355844 36.71956728883171),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.4604210355844,36.71956728883171
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74d0,2058,Contenedor pilas Cl Velez-Malaga,,"CALLE VÉLEZ MÁLAGA, 13 ",POINT (-4.411247640572181 36.71858672613184),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.411247640572181,36.71858672613184
da_medioAmbiente_contenedoresPilas.fid-7e811540_18cccdec071_74d1,2160,Contenedor pilas Av Lope De Vega ,,"AVENIDA DE LOPE DE VEGA, 25 ",POINT (-4.469454491853633 36.731111908799214),,,,,,OTRAS,No,No,"[ { ""Contenedor_interior"":""No"" } ] ",-4.469454491853633,36.731111908799214
