FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7526,3258,Contenedor ropa Av Carlos De Haya 58,,"AVENIDA CARLOS DE HAYA, 58 ",POINT (-4.446001016345605 36.72205581982988),,,,,,MUNICIPAL,No,No,,-4.446001016345605,36.72205581982988
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7525,3256,Contenedor ropa Av Carlos De Haya 105,,"AVENIDA CARLOS DE HAYA, 105 ",POINT (-4.452890880477407 36.72304274313826),,,,,,MUNICIPAL,No,No,,-4.452890880477407,36.72304274313826
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7524,3329,Contenedor ropa Cl Cirilo Salinas,,"CALLE CIRILO SALINAS, 26 ",POINT (-4.462952869333362 36.7317134882106),,,,,,MUNICIPAL,No,No,,-4.462952869333362,36.7317134882106
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7523,3452,Contenedor ropa Cril Conde,,"CARRIL DEL CONDE, 1 ",POINT (-4.452042102221111 36.695307167037484),,,,,,MUNICIPAL,No,No,,-4.452042102221111,36.695307167037484
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7522,3274,Contenedor ropa Av José Ortega Y Gasset 115,,"AVENIDA DE JOSÉ ORTEGA Y GASSET, 115 ",POINT (-4.451795562899858 36.710047635463255),,,,,,MUNICIPAL,No,No,,-4.451795562899858,36.710047635463255
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7521,3457,Contenedor ropa Pl Aparejador Federico Bermúdez,,"PLAZA APAREJADOR FEDERICO BERMÚDEZ, 2 ",POINT (-4.439976007791185 36.721043680263655),,,,,,MUNICIPAL,No,No,,-4.439976007791185,36.721043680263655
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7520,3419,Contenedor ropa Cl Pilar Lorengar,,"CALLE PILAR LORENGAR, 5 ",POINT (-4.452856617431543 36.6831379118788),,,,,,MUNICIPAL,No,No,,-4.452856617431543,36.6831379118788
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751f,3249,Contenedor ropa Av Arroyo De Los Ángeles 83,,"AVENIDA DEL ARROYO DE LOS ÁNGELES, 83 ",POINT (-4.435722966665507 36.730545389505615),,,,,,MUNICIPAL,No,No,,-4.435722966665507,36.730545389505615
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751e,3297,Contenedor ropa Av Plutarco 59,,"AVENIDA DE PLUTARCO, 59 ",POINT (-4.479124159798549 36.721680672978074),,,,,,MUNICIPAL,No,No,,-4.479124159798549,36.721680672978074
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751d,3421,Contenedor ropa Cl Reboul,,"CALLE REBOUL, 34 ",POINT (-4.440893257070189 36.7093719689026),,,,,,MUNICIPAL,No,No,,-4.440893257070189,36.7093719689026
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751c,3260,Contenedor ropa Av Carlos De Haya 79,,"AVENIDA CARLOS DE HAYA, 79 ",POINT (-4.450009050098861 36.72257240222471),,,,,,MUNICIPAL,No,No,,-4.450009050098861,36.72257240222471
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751b,3429,Contenedor ropa Cl Sancho Miranda,,"CALLE SANCHO MIRANDA, 22 ",POINT (-4.4182196070024515 36.748084233695955),,,,,,MUNICIPAL,No,No,,-4.4182196070024515,36.748084233695955
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-751a,3437,Contenedor ropa Cl Villafuerte,,"CALLE VILLAFUERTE, 44 ",POINT (-4.359041276095733 36.72426803236862),,,,,,MUNICIPAL,No,No,,-4.359041276095733,36.72426803236862
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7519,3427,Contenedor ropa Cl San Rafael,,"CALLE SAN RAFAEL, 2 ",POINT (-4.425245312511451 36.72328843487782),,,,,,MUNICIPAL,No,No,,-4.425245312511451,36.72328843487782
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7518,3355,Contenedor ropa Cl Francisco Jimenez Lomas,,"CALLE FRANCISCO JIMÉNEZ LOMAS, 9 ",POINT (-4.445658437227313 36.694351220657374),,,,,,MUNICIPAL,No,No,,-4.445658437227313,36.694351220657374
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7517,3275,Contenedor ropa Av Jose Ortega Y Gasset 43,,"AVENIDA DE JOSÉ ORTEGA Y GASSET, 43 ",POINT (-4.446727171722371 36.71098589858135),,,,,,MUNICIPAL,No,No,,-4.446727171722371,36.71098589858135
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7516,3430,Contenedor ropa Cl Sierra De Grazalema,,"CALLE SIERRA DE GRAZALEMA, 34 ",POINT (-4.403113967170279 36.73236194193702),,,,,,MUNICIPAL,No,No,,-4.403113967170279,36.73236194193702
da_medioAmbiente_contenedoresRopa.fid-7e811540_18cccdf8d1c_-7515,3368,Contenedor ropa Cl Héroe De Sostoa 14,,"CALLE HÉROE DE SOSTOA, 14 ",POINT (-4.433067090828189 36.709927870143176),,,,,,MUNICIPAL,No,No,,-4.433067090828189,36.709927870143176
