FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,INFOESP,lon,lat
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c72,2025,Contenedor aceite Av Malaga Oloroso,,"AVENIDA MÁLAGA OLOROSO, 16 ",POINT (-4.417879495994991 36.74632912628365),,,,,,OTRAS,No,No,,-4.417879495994991,36.74632912628365
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c71,1967,Contenedor aceite Cmno Casabermeja,,"CAMINO DE CASABERMEJA, 56 ",POINT (-4.423928916974624 36.75288523819748),,,,,,OTRAS,No,No,,-4.423928916974624,36.75288523819748
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c70,2013,Contenedor aceite Cl Alcalde Joaquin Alonso,,"CALLE ALCALDE JOAQUÍN ALONSO, 18 ",POINT (-4.450883184253102 36.697888009995644),,,,,,OTRAS,No,No,,-4.450883184253102,36.697888009995644
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6f,1988,Contenedor aceite Cl Nuestra Señora De Los Clarines,,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 5 ",POINT (-4.440036457236863 36.729727910932546),,,,,,OTRAS,No,No,,-4.440036457236863,36.729727910932546
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6e,1979,Contenedor aceite Av Imperio Argentina,,"AVENIDA IMPERIO ARGENTINA, 6 ",POINT (-4.455938749386346 36.682905466992786),,,,,,OTRAS,No,No,,-4.455938749386346,36.682905466992786
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6d,2021,Contenedor aceite Av Barcelona ,,"AVENIDA DE BARCELONA, 1 ",POINT (-4.431776472885854 36.72159816185097),,,,,,OTRAS,No,No,,-4.431776472885854,36.72159816185097
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6c,2034,Contenedor aceite Cmno Guadalmar A La Loma,,"CAMINO GUADALMAR A LA LOMA, 1 ",POINT (-4.4749456243025385 36.66737060811608),,,,,,OTRAS,No,No,,-4.4749456243025385,36.66737060811608
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6b,2039,Contenedor aceite Cl Lope De Rueda,,"CALLE LOPE DE RUEDA, 222 ",POINT (-4.4879511140718735 36.74173837278211),,,,,,OTRAS,No,No,,-4.4879511140718735,36.74173837278211
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c6a,2007,Contenedor aceite Cril  de la Cordobesa,,"CARRIL DE LA CORDOBESA, 18 ",POINT (-4.439070444747613 36.70677260102583),,,,,,OTRAS,No,No,,-4.439070444747613,36.70677260102583
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c69,1980,Contenedor aceite Pl de la Luz,,"PLAZA DE LA LUZ, 5 ",POINT (-4.45354941881447 36.69581101929901),,,,,,OTRAS,No,No,,-4.45354941881447,36.69581101929901
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c68,2046,Contenedor aceite Av Pepita Duran,,"AVENIDA DE PEPITA DURÁN, 19 ",POINT (-4.47092693694155 36.722006682444196),,,,,,OTRAS,No,No,,-4.47092693694155,36.722006682444196
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c67,1959,Contenedor aceite Gta Jorge Campbell,,"GLORIETA JORGE CAMPBELL, 3 ",POINT (-4.38162797352159 36.72681454623397),,,,,,OTRAS,No,No,,-4.38162797352159,36.72681454623397
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c66,2032,Contenedor aceite Cmno Nuevo,,"CAMINO NUEVO, 69 ",POINT (-4.503487855274668 36.66810532251011),,,,,,OTRAS,No,No,,-4.503487855274668,36.66810532251011
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c65,1999,Contenedor aceite Av Santa Rosa De Lima,,"AVENIDA DE SANTA ROSA DE LIMA, 2 ",POINT (-4.449079422701264 36.722300904434356),,,,,,OTRAS,No,No,,-4.449079422701264,36.722300904434356
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c64,2041,Contenedor aceite Cl Catedrático Cristóbal Cuevas,,"CALLE CATEDRÁTICO CRISTÓBAL CUEVAS, 11 ",POINT (-4.492123167141565 36.723037297549055),,,,,,OTRAS,No,No,,-4.492123167141565,36.723037297549055
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c63,2033,Contenedor aceite Cmno Huertecilla,,"CAMINO HUERTECILLA, 45 ",POINT (-4.5071958933644245 36.67359621992901),,,,,,OTRAS,No,No,,-4.5071958933644245,36.67359621992901
da_medioAmbiente_contenedoresAceite.fid-7e811540_18cccdf8d1c_-7c62,1961,Contenedor aceite Av Pio Baroja,,"AVENIDA DE PÍO BAROJA, 19 ",POINT (-4.3628088280246375 36.72045771541124),,,,,,OTRAS,No,No,,-4.3628088280246375,36.72045771541124
